,age,Medu,Fedu,traveltime,studytime,failures,health,absences,M1,M2,M3,sex_F,sex_M,address_R,address_U,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,activities_no,activities_yes,higher_no,higher_yes
0,18,4,4,2,2,0,3,6,25,30,30,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
1,17,1,1,1,2,0,3,4,25,25,30,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2,15,1,1,1,2,3,3,10,35,40,50,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
3,15,4,2,1,3,0,5,2,75,70,75,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
4,16,3,3,1,2,0,5,4,30,50,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
5,16,4,3,1,2,0,5,10,75,75,75,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
6,16,2,2,1,2,0,3,0,60,60,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
7,17,4,4,2,2,0,1,6,30,25,30,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
8,15,3,2,1,2,0,1,0,80,90,95,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
9,15,3,4,1,2,0,5,0,70,75,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
10,15,4,4,1,2,0,2,0,50,40,45,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
11,15,2,1,3,3,0,4,4,50,60,60,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
12,15,4,4,1,1,0,5,2,70,70,70,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
13,15,4,3,2,2,0,3,2,50,50,55,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
14,15,2,2,1,3,0,3,0,70,80,80,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
15,16,4,4,1,1,0,2,4,70,70,70,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
16,16,4,4,1,3,0,2,6,65,70,70,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
17,16,3,3,3,2,0,4,4,40,50,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
18,17,3,2,1,1,3,5,16,30,25,25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
19,16,4,3,1,1,0,5,4,40,50,50,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
20,15,4,3,1,2,0,1,0,65,70,75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
21,15,4,4,1,1,0,5,0,60,75,75,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
22,16,4,2,1,2,0,5,2,75,75,80,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,16,2,2,2,2,0,5,0,65,65,60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
24,15,2,4,1,3,0,5,2,50,45,40,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
25,16,2,2,1,1,2,5,14,30,45,40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
26,15,2,2,1,1,0,5,2,60,60,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
27,15,4,2,1,1,0,1,4,75,80,75,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
28,16,3,4,1,2,0,5,4,55,55,55,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
29,16,4,4,1,2,0,5,16,50,60,55,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
30,15,4,4,1,2,0,5,0,45,55,60,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
31,15,4,4,2,2,0,5,0,85,80,85,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
32,15,4,3,1,2,0,5,0,85,80,80,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
33,15,3,3,1,2,0,2,0,40,50,60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
34,16,3,2,1,1,0,5,0,60,70,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
35,15,2,3,2,1,0,5,0,40,35,30,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
36,15,4,3,1,3,0,4,2,75,80,90,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
37,16,4,4,2,3,0,5,7,75,80,75,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
38,15,3,4,1,3,0,5,2,60,60,55,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
39,15,2,2,1,1,0,2,8,70,65,65,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
40,16,2,2,2,2,1,3,25,35,50,55,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41,15,4,4,1,1,0,5,8,60,60,60,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
42,15,4,4,1,2,0,5,2,95,90,90,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
43,15,2,2,1,1,0,1,0,40,40,55,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
44,16,2,2,2,2,1,5,14,50,50,45,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
45,15,4,3,1,2,0,5,8,40,40,30,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
46,16,3,3,1,2,0,3,12,55,60,55,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
47,16,4,3,1,4,0,2,4,95,95,100,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
48,15,4,2,1,2,0,5,2,75,75,70,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
49,15,4,4,1,2,1,3,2,35,35,35,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
50,16,2,2,3,2,0,4,2,60,65,65,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
51,15,4,2,1,2,0,5,2,55,65,65,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
52,15,4,2,2,1,1,5,6,55,55,50,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
53,15,4,4,1,1,0,5,0,40,50,55,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
54,15,3,3,1,1,0,1,6,50,65,65,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
55,16,2,1,1,2,0,2,8,40,45,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
56,15,4,3,1,2,0,1,0,70,75,75,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
57,15,4,4,1,2,0,5,4,70,75,75,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
58,15,1,2,1,2,0,5,2,45,50,45,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
59,16,4,2,1,2,0,5,2,75,80,80,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
60,16,4,4,1,2,0,4,6,50,55,55,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
61,16,1,1,4,1,0,5,6,50,40,55,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
62,16,1,2,1,2,0,1,4,40,50,45,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
63,16,4,3,1,3,0,4,2,50,45,45,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
64,15,4,3,1,2,0,2,0,50,50,50,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
65,16,4,3,3,2,0,1,2,80,75,75,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
66,15,4,4,1,4,0,3,4,65,65,60,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
67,16,3,1,1,4,0,5,4,35,35,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
68,15,2,2,2,2,0,4,2,40,45,40,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
69,15,3,1,2,4,0,3,12,80,80,80,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
70,16,3,1,2,4,0,5,0,65,75,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
71,15,4,2,1,4,0,3,0,50,50,50,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
72,15,1,1,1,2,2,5,2,40,30,25,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
73,16,3,1,1,1,0,5,2,60,60,70,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
74,16,3,3,1,2,0,5,54,55,60,55,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
75,15,4,3,1,2,0,5,6,45,45,50,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
76,15,4,0,2,4,0,1,8,55,55,50,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
77,16,2,2,1,4,0,3,0,55,55,55,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
78,17,2,1,2,1,3,3,2,40,40,50,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
79,16,3,4,1,2,0,3,12,25,25,25,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
80,15,2,3,1,1,0,3,2,50,60,60,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
81,15,2,3,1,3,0,5,4,55,50,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
82,15,3,2,1,2,0,5,10,35,30,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
83,15,2,2,2,2,0,4,4,75,75,75,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
84,15,1,1,1,2,0,4,2,45,50,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
85,15,4,4,2,2,2,5,6,35,45,40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
86,16,2,2,1,2,0,2,4,40,35,30,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
87,15,4,2,1,3,0,1,4,65,70,70,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
88,16,2,2,2,2,1,3,12,55,50,50,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
89,16,4,4,1,2,0,5,18,40,30,35,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
90,16,3,3,1,3,0,4,0,35,35,40,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
91,15,4,3,1,1,0,1,4,80,85,90,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
92,16,3,1,1,2,0,2,4,35,30,30,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
93,16,4,2,2,2,0,1,0,55,50,50,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
94,15,2,2,1,4,0,4,6,55,65,70,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
95,15,1,1,2,4,1,1,2,35,50,50,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
96,16,4,3,2,1,0,4,2,55,75,75,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
97,16,2,1,1,2,0,5,2,40,45,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
98,16,4,4,1,1,0,1,6,55,70,70,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
99,16,4,3,1,3,0,3,0,35,45,40,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
100,16,4,4,1,1,0,4,14,35,35,25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
101,16,4,4,1,3,0,4,0,80,85,85,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
102,15,4,4,1,1,0,5,4,50,65,70,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
103,15,3,2,2,2,0,2,26,35,30,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
104,15,3,4,1,2,0,1,0,80,90,90,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
105,15,3,3,1,4,0,4,10,50,55,55,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
106,15,2,2,1,4,0,3,8,35,40,40,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
107,16,3,3,1,3,0,5,2,80,90,90,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
108,15,4,4,4,4,0,1,6,50,65,65,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
109,16,4,4,1,3,0,4,4,70,75,80,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
110,15,4,4,1,1,0,4,6,90,95,95,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
111,16,3,3,1,3,1,2,0,35,50,50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
112,16,2,2,1,2,1,5,6,50,65,65,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
113,15,4,2,1,1,0,3,10,90,95,95,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
114,15,2,1,1,2,0,5,8,45,45,45,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
115,16,4,4,1,2,0,5,2,75,75,80,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
116,15,4,4,2,2,0,2,2,55,65,70,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
117,16,3,3,2,1,0,5,0,65,70,65,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
118,17,1,3,3,2,1,5,20,45,35,40,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
119,15,3,4,1,1,0,4,6,70,65,65,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
120,15,1,2,1,2,0,1,2,80,75,75,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
121,15,2,2,1,4,0,5,6,80,70,75,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
122,16,2,4,2,2,0,5,2,65,65,65,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
123,16,4,4,1,1,0,5,18,70,55,65,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
124,16,2,2,1,2,0,5,0,40,35,40,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
125,15,3,4,1,1,0,5,0,65,65,60,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
126,15,3,4,1,2,0,1,0,35,50,55,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
127,19,0,1,1,2,3,5,2,35,40,45,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
128,18,2,2,1,1,2,4,0,35,20,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
129,16,4,4,1,1,0,4,8,90,90,90,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
130,15,3,4,2,3,2,5,0,60,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
131,15,1,1,3,1,0,4,0,40,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
132,17,2,2,1,1,0,5,12,50,65,60,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
133,16,3,4,1,1,0,5,16,60,55,55,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
134,15,3,4,4,2,0,5,0,45,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
135,15,4,4,1,3,0,5,0,55,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
136,17,3,4,3,2,0,5,0,50,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
137,16,3,3,2,1,2,5,0,20,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
138,16,1,1,1,2,1,5,0,70,60,60,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
139,15,4,4,2,1,0,5,0,80,80,75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
140,15,4,3,2,4,0,3,0,35,45,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
141,16,2,2,2,1,2,2,8,45,45,45,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
142,15,4,4,1,3,0,5,2,45,55,55,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
143,16,1,1,1,1,0,1,2,70,70,65,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
144,17,2,1,1,1,3,5,0,25,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
145,15,1,1,1,2,0,5,0,40,55,55,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
146,15,3,2,1,2,3,3,0,30,35,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
147,15,1,2,1,2,0,5,2,50,55,55,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
148,16,4,4,1,1,0,5,0,35,30,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
149,15,2,1,4,1,3,5,0,40,45,50,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
150,18,1,1,1,1,3,4,0,30,25,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
151,16,2,1,1,1,1,5,6,60,65,70,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
152,15,3,3,2,3,2,3,8,50,50,50,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
153,19,3,2,1,1,3,4,0,25,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
154,17,4,4,1,1,0,4,0,55,55,60,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
155,15,2,3,1,2,0,1,2,55,40,40,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
156,17,1,2,1,1,0,5,8,80,60,65,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
157,18,1,1,3,1,3,4,6,45,40,50,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
158,16,2,2,3,1,0,3,2,85,75,75,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
159,16,3,3,1,2,1,5,4,50,60,60,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
160,17,2,1,2,1,2,5,0,35,30,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
161,15,3,2,2,2,2,3,6,25,45,35,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
162,16,1,2,2,1,1,5,0,35,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
163,17,1,3,1,1,0,2,2,50,50,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
164,17,1,1,4,2,3,5,0,25,40,35,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
165,16,3,2,2,1,1,2,16,60,55,60,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
166,16,2,2,1,2,0,4,4,50,50,50,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
167,16,4,2,1,2,0,3,0,70,75,80,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
168,16,2,2,1,2,0,4,0,30,35,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
169,16,4,4,1,2,0,3,0,70,70,70,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
170,16,3,4,3,1,2,2,0,30,25,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
171,16,1,0,2,2,0,3,2,65,75,80,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
172,17,4,4,1,2,0,5,0,65,55,50,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
173,16,1,3,1,2,3,3,0,40,35,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
174,16,3,3,2,2,0,4,4,50,55,45,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
175,17,4,3,2,2,0,4,4,50,45,45,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
176,16,2,2,2,2,0,5,2,65,65,55,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
177,17,3,3,1,2,0,4,4,30,25,30,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
178,16,4,2,1,1,0,3,10,50,40,45,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
179,17,4,3,1,2,0,2,4,50,50,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
180,16,4,3,1,2,0,3,10,45,40,40,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
181,16,3,3,1,2,0,3,2,60,65,60,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
182,17,2,4,1,2,0,5,0,80,85,85,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
183,17,3,3,1,2,0,1,56,45,45,40,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
184,16,3,2,1,2,0,1,14,60,65,60,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
185,17,3,3,1,2,0,4,12,60,60,55,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
186,16,1,2,1,1,0,3,2,55,60,55,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
187,16,2,1,1,2,0,5,0,75,75,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
188,17,3,3,1,2,0,3,6,40,35,45,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
189,17,1,2,1,2,0,3,4,40,45,50,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
190,16,2,3,1,2,0,2,10,55,60,65,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
191,17,1,1,1,2,0,3,0,40,40,45,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
192,17,1,2,2,2,0,5,12,35,40,40,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
193,16,3,3,1,1,0,5,8,40,45,50,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
194,16,2,3,2,1,0,3,0,65,70,70,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
195,17,2,4,1,2,0,5,0,70,75,75,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
