sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
F,18,U,4,4,at_home,teacher,2,2,0,no,yes,3,6,25,30,30
F,17,U,1,1,at_home,other,1,2,0,no,yes,3,4,25,25,30
F,15,U,1,1,at_home,other,1,2,3,no,yes,3,10,35,40,50
F,15,U,4,2,health,services,1,3,0,yes,yes,5,2,75,70,75
F,16,U,3,3,other,other,1,2,0,no,yes,5,4,30,50,50
M,16,U,4,3,services,other,1,2,0,yes,yes,5,10,75,75,75
M,16,U,2,2,other,other,1,2,0,no,yes,3,0,60,60,55
F,17,U,4,4,other,teacher,2,2,0,no,yes,1,6,30,25,30
M,15,U,3,2,services,other,1,2,0,no,yes,1,0,80,90,95
M,15,U,3,4,other,other,1,2,0,yes,yes,5,0,70,75,75
F,15,U,4,4,teacher,health,1,2,0,no,yes,2,0,50,40,45
F,15,U,2,1,services,other,3,3,0,yes,yes,4,4,50,60,60
M,15,U,4,4,health,services,1,1,0,yes,yes,5,2,70,70,70
M,15,U,4,3,teacher,other,2,2,0,no,yes,3,2,50,50,55
M,15,U,2,2,other,other,1,3,0,no,yes,3,0,70,80,80
F,16,U,4,4,health,other,1,1,0,no,yes,2,4,70,70,70
F,16,U,4,4,services,services,1,3,0,yes,yes,2,6,65,70,70
F,16,U,3,3,other,other,3,2,0,yes,yes,4,4,40,50,50
M,17,U,3,2,services,services,1,1,3,yes,yes,5,16,30,25,25
M,16,U,4,3,health,other,1,1,0,yes,yes,5,4,40,50,50
M,15,U,4,3,teacher,other,1,2,0,no,yes,1,0,65,70,75
M,15,U,4,4,health,health,1,1,0,no,yes,5,0,60,75,75
M,16,U,4,2,teacher,other,1,2,0,yes,yes,5,2,75,75,80
M,16,U,2,2,other,other,2,2,0,yes,yes,5,0,65,65,60
F,15,R,2,4,services,health,1,3,0,yes,yes,5,2,50,45,40
F,16,U,2,2,services,services,1,1,2,no,yes,5,14,30,45,40
M,15,U,2,2,other,other,1,1,0,no,yes,5,2,60,60,55
M,15,U,4,2,health,services,1,1,0,no,yes,1,4,75,80,75
M,16,U,3,4,services,other,1,2,0,yes,yes,5,4,55,55,55
M,16,U,4,4,teacher,teacher,1,2,0,yes,yes,5,16,50,60,55
M,15,U,4,4,health,services,1,2,0,no,yes,5,0,45,55,60
M,15,U,4,4,services,services,2,2,0,yes,yes,5,0,85,80,85
M,15,R,4,3,teacher,at_home,1,2,0,yes,yes,5,0,85,80,80
M,15,U,3,3,other,other,1,2,0,yes,yes,2,0,40,50,60
M,16,U,3,2,other,other,1,1,0,no,yes,5,0,60,70,75
F,15,U,2,3,other,other,2,1,0,yes,yes,5,0,40,35,30
M,15,U,4,3,teacher,services,1,3,0,yes,yes,4,2,75,80,90
M,16,R,4,4,other,teacher,2,3,0,yes,yes,5,7,75,80,75
F,15,R,3,4,services,health,1,3,0,yes,yes,5,2,60,60,55
F,15,R,2,2,at_home,other,1,1,0,yes,yes,2,8,70,65,65
F,16,U,2,2,other,other,2,2,1,yes,yes,3,25,35,50,55
M,15,U,4,4,teacher,other,1,1,0,no,yes,5,8,60,60,60
M,15,U,4,4,services,teacher,1,2,0,yes,yes,5,2,95,90,90
M,15,U,2,2,services,services,1,1,0,no,yes,1,0,40,40,55
F,16,U,2,2,other,at_home,2,2,1,yes,yes,5,14,50,50,45
F,15,U,4,3,other,other,1,2,0,yes,yes,5,8,40,40,30
F,16,U,3,3,other,services,1,2,0,no,yes,3,12,55,60,55
M,16,U,4,3,health,services,1,4,0,yes,yes,2,4,95,95,100
M,15,U,4,2,teacher,other,1,2,0,no,yes,5,2,75,75,70
F,15,U,4,4,services,teacher,1,2,1,yes,yes,3,2,35,35,35
F,16,U,2,2,services,services,3,2,0,no,yes,4,2,60,65,65
F,15,U,4,2,health,other,1,2,0,no,yes,5,2,55,65,65
M,15,U,4,2,health,health,2,1,1,no,yes,5,6,55,55,50
F,15,U,4,4,services,services,1,1,0,no,yes,5,0,40,50,55
F,15,U,3,3,other,other,1,1,0,no,yes,1,6,50,65,65
F,16,U,2,1,other,other,1,2,0,yes,yes,2,8,40,45,50
F,15,U,4,3,services,services,1,2,0,yes,yes,1,0,70,75,75
M,15,U,4,4,teacher,health,1,2,0,yes,yes,5,4,70,75,75
M,15,U,1,2,other,at_home,1,2,0,yes,yes,5,2,45,50,45
F,16,U,4,2,services,other,1,2,0,no,yes,5,2,75,80,80
F,16,R,4,4,health,teacher,1,2,0,yes,yes,4,6,50,55,55
F,16,U,1,1,services,services,4,1,0,yes,yes,5,6,50,40,55
F,16,U,1,2,other,services,1,2,0,yes,yes,1,4,40,50,45
F,16,U,4,3,teacher,health,1,3,0,yes,yes,4,2,50,45,45
F,15,U,4,3,services,services,1,2,0,yes,yes,2,0,50,50,50
F,16,U,4,3,teacher,services,3,2,0,yes,yes,1,2,80,75,75
M,15,U,4,4,other,services,1,4,0,yes,yes,3,4,65,65,60
F,16,U,3,1,services,other,1,4,0,no,yes,5,4,35,35,30
F,15,R,2,2,health,services,2,2,0,no,yes,4,2,40,45,40
F,15,R,3,1,other,other,2,4,0,no,yes,3,12,80,80,80
M,16,U,3,1,other,other,2,4,0,no,yes,5,0,65,75,75
M,15,U,4,2,other,other,1,4,0,no,yes,3,0,50,50,50
F,15,R,1,1,other,other,1,2,2,no,yes,5,2,40,30,25
M,16,U,3,1,other,other,1,1,0,yes,yes,5,2,60,60,70
F,16,U,3,3,other,services,1,2,0,yes,yes,5,54,55,60,55
M,15,U,4,3,teacher,other,1,2,0,yes,yes,5,6,45,45,50
M,15,U,4,0,teacher,other,2,4,0,yes,yes,1,8,55,55,50
F,16,U,2,2,other,other,1,4,0,no,yes,3,0,55,55,55
M,17,U,2,1,other,other,2,1,3,yes,no,3,2,40,40,50
F,16,U,3,4,at_home,other,1,2,0,no,yes,3,12,25,25,25
M,15,U,2,3,other,services,1,1,0,yes,yes,3,2,50,60,60
M,15,U,2,3,other,other,1,3,0,no,yes,5,4,55,50,55
F,15,U,3,2,services,other,1,2,0,no,yes,5,10,35,30,30
M,15,U,2,2,services,services,2,2,0,yes,yes,4,4,75,75,75
F,15,U,1,1,other,other,1,2,0,yes,yes,4,2,45,50,50
F,15,U,4,4,services,services,2,2,2,no,yes,5,6,35,45,40
F,16,U,2,2,at_home,other,1,2,0,no,yes,2,4,40,35,30
F,15,U,4,2,other,other,1,3,0,yes,yes,1,4,65,70,70
M,16,U,2,2,services,other,2,2,1,yes,yes,3,12,55,50,50
M,16,U,4,4,teacher,health,1,2,0,no,yes,5,18,40,30,35
F,16,U,3,3,other,other,1,3,0,no,yes,4,0,35,35,40
F,15,U,4,3,services,other,1,1,0,yes,yes,1,4,80,85,90
F,16,U,3,1,other,other,1,2,0,no,yes,2,4,35,30,30
F,16,U,4,2,teacher,services,2,2,0,yes,yes,1,0,55,50,50
M,15,U,2,2,services,health,1,4,0,yes,yes,4,6,55,65,70
F,15,R,1,1,at_home,other,2,4,1,yes,yes,1,2,35,50,50
M,16,R,4,3,services,other,2,1,0,yes,yes,4,2,55,75,75
F,16,U,2,1,other,other,1,2,0,no,yes,5,2,40,45,50
F,16,U,4,4,other,other,1,1,0,yes,yes,1,6,55,70,70
F,16,U,4,3,other,at_home,1,3,0,no,yes,3,0,35,45,40
M,16,U,4,4,services,services,1,1,0,yes,yes,4,14,35,35,25
M,16,U,4,4,services,teacher,1,3,0,yes,yes,4,0,80,85,85
M,15,U,4,4,services,other,1,1,0,yes,yes,5,4,50,65,70
F,15,U,3,2,services,other,2,2,0,no,yes,2,26,35,30,30
M,15,U,3,4,services,other,1,2,0,yes,yes,1,0,80,90,90
F,15,U,3,3,other,health,1,4,0,no,yes,4,10,50,55,55
F,15,U,2,2,other,other,1,4,0,no,yes,3,8,35,40,40
M,16,U,3,3,services,other,1,3,0,yes,yes,5,2,80,90,90
M,15,R,4,4,other,other,4,4,0,yes,yes,1,6,50,65,65
F,16,U,4,4,health,health,1,3,0,yes,yes,4,4,70,75,80
M,15,U,4,4,teacher,teacher,1,1,0,yes,yes,4,6,90,95,95
F,16,R,3,3,services,other,1,3,1,yes,yes,2,0,35,50,50
F,16,U,2,2,at_home,other,1,2,1,yes,yes,5,6,50,65,65
M,15,U,4,2,teacher,other,1,1,0,no,yes,3,10,90,95,95
M,15,R,2,1,health,services,1,2,0,yes,yes,5,8,45,45,45
M,16,U,4,4,teacher,teacher,1,2,0,yes,yes,5,2,75,75,80
M,15,U,4,4,other,teacher,2,2,0,yes,yes,2,2,55,65,70
M,16,U,3,3,other,services,2,1,0,yes,yes,5,0,65,70,65
M,17,R,1,3,other,other,3,2,1,yes,yes,5,20,45,35,40
M,15,U,3,4,other,other,1,1,0,no,yes,4,6,70,65,65
F,15,U,1,2,at_home,services,1,2,0,no,yes,1,2,80,75,75
M,15,U,2,2,services,services,1,4,0,yes,yes,5,6,80,70,75
F,16,U,2,4,other,health,2,2,0,yes,yes,5,2,65,65,65
M,16,U,4,4,health,other,1,1,0,yes,yes,5,18,70,55,65
F,16,U,2,2,other,other,1,2,0,no,yes,5,0,40,35,40
M,15,U,3,4,services,services,1,1,0,no,yes,5,0,65,65,60
F,15,U,3,4,other,other,1,2,0,yes,yes,1,0,35,50,55
F,19,U,0,1,at_home,other,1,2,3,no,no,5,2,35,40,45
M,18,R,2,2,services,other,1,1,2,yes,yes,4,0,35,20,0
M,16,R,4,4,teacher,teacher,1,1,0,yes,yes,4,8,90,90,90
F,15,R,3,4,services,teacher,2,3,2,no,yes,5,0,60,0,0
F,15,U,1,1,at_home,other,3,1,0,yes,yes,4,0,40,0,0
F,17,U,2,2,other,other,1,1,0,no,yes,5,12,50,65,60
F,16,U,3,4,services,other,1,1,0,no,yes,5,16,60,55,55
M,15,R,3,4,at_home,teacher,4,2,0,no,yes,5,0,45,0,0
F,15,U,4,4,services,at_home,1,3,0,yes,yes,5,0,55,0,0
M,17,R,3,4,at_home,other,3,2,0,no,yes,5,0,50,0,0
F,16,U,3,3,other,other,2,1,2,yes,yes,5,0,20,0,0
M,16,U,1,1,services,other,1,2,1,no,yes,5,0,70,60,60
F,15,U,4,4,teacher,teacher,2,1,0,yes,yes,5,0,80,80,75
M,15,U,4,3,teacher,services,2,4,0,no,yes,3,0,35,45,0
M,16,U,2,2,services,services,2,1,2,yes,yes,2,8,45,45,45
F,15,U,4,4,teacher,services,1,3,0,yes,yes,5,2,45,55,55
F,16,U,1,1,at_home,at_home,1,1,0,no,yes,1,2,70,70,65
M,17,U,2,1,other,other,1,1,3,no,yes,5,0,25,0,0
F,15,U,1,1,other,services,1,2,0,no,yes,5,0,40,55,55
F,15,U,3,2,health,services,1,2,3,no,yes,3,0,30,35,0
F,15,U,1,2,at_home,other,1,2,0,no,yes,5,2,50,55,55
M,16,U,4,4,teacher,teacher,1,1,0,no,no,5,0,35,30,0
M,15,U,2,1,services,other,4,1,3,no,yes,5,0,40,45,50
M,18,U,1,1,other,other,1,1,3,no,no,4,0,30,25,0
M,16,U,2,1,at_home,other,1,1,1,yes,yes,5,6,60,65,70
F,15,R,3,3,services,services,2,3,2,yes,yes,3,8,50,50,50
M,19,U,3,2,services,at_home,1,1,3,no,no,4,0,25,0,0
F,17,U,4,4,other,teacher,1,1,0,no,yes,4,0,55,55,60
M,15,R,2,3,at_home,services,1,2,0,yes,yes,1,2,55,40,40
M,17,R,1,2,other,other,1,1,0,no,yes,5,8,80,60,65
F,18,R,1,1,at_home,other,3,1,3,yes,yes,4,6,45,40,50
M,16,R,2,2,at_home,other,3,1,0,no,yes,3,2,85,75,75
M,16,U,3,3,other,services,1,2,1,no,yes,5,4,50,60,60
M,17,R,2,1,at_home,other,2,1,2,yes,no,5,0,35,30,0
M,15,R,3,2,other,other,2,2,2,no,yes,3,6,25,45,35
M,16,U,1,2,other,other,2,1,1,yes,yes,5,0,35,0,0
M,17,U,1,3,at_home,services,1,1,0,no,no,2,2,50,50,50
M,17,R,1,1,other,services,4,2,3,yes,no,5,0,25,40,35
M,16,U,3,2,services,services,2,1,1,yes,no,2,16,60,55,60
M,16,U,2,2,other,other,1,2,0,no,no,4,4,50,50,50
F,16,U,4,2,health,services,1,2,0,no,yes,3,0,70,75,80
F,16,U,2,2,other,other,1,2,0,no,yes,4,0,30,35,0
F,16,U,4,4,health,health,1,2,0,no,yes,3,0,70,70,70
M,16,U,3,4,other,other,3,1,2,yes,yes,2,0,30,25,0
M,16,U,1,0,other,other,2,2,0,yes,yes,3,2,65,75,80
M,17,U,4,4,teacher,other,1,2,0,yes,yes,5,0,65,55,50
F,16,U,1,3,at_home,services,1,2,3,yes,yes,3,0,40,35,0
F,16,U,3,3,other,other,2,2,0,yes,yes,4,4,50,55,45
M,17,U,4,3,teacher,other,2,2,0,yes,yes,4,4,50,45,45
F,16,U,2,2,services,other,2,2,0,yes,yes,5,2,65,65,55
M,17,U,3,3,other,other,1,2,0,yes,yes,4,4,30,25,30
M,16,R,4,2,teacher,services,1,1,0,yes,yes,3,10,50,40,45
M,17,U,4,3,other,other,1,2,0,yes,yes,2,4,50,50,55
M,16,U,4,3,teacher,other,1,2,0,yes,yes,3,10,45,40,40
M,16,U,3,3,services,other,1,2,0,yes,yes,3,2,60,65,60
F,17,U,2,4,services,services,1,2,0,yes,yes,5,0,80,85,85
F,17,U,3,3,other,other,1,2,0,yes,yes,1,56,45,45,40
F,16,U,3,2,other,other,1,2,0,no,yes,1,14,60,65,60
M,17,U,3,3,services,services,1,2,0,yes,yes,4,12,60,60,55
M,16,U,1,2,services,services,1,1,0,yes,yes,3,2,55,60,55
M,16,U,2,1,other,other,1,2,0,yes,yes,5,0,75,75,75
F,17,U,3,3,health,other,1,2,0,no,yes,3,6,40,35,45
M,17,R,1,2,at_home,other,1,2,0,no,yes,3,4,40,45,50
F,16,U,2,3,services,services,1,2,0,no,yes,2,10,55,60,65
F,17,U,1,1,at_home,services,1,2,0,yes,yes,3,0,40,40,45
M,17,U,1,2,at_home,services,2,2,0,yes,yes,5,12,35,40,40
M,16,R,3,3,services,services,1,1,0,yes,yes,5,8,40,45,50
M,16,U,2,3,other,other,2,1,0,no,yes,3,0,65,70,70
F,17,U,2,4,services,services,1,2,0,yes,yes,5,0,70,75,75
