sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
M,17,U,4,4,services,teacher,1,1,0,no,yes,5,4,85,75,80
M,16,R,3,3,teacher,other,3,1,0,yes,yes,3,8,45,45,50
F,17,U,4,4,services,teacher,2,1,1,no,yes,2,24,90,90,90
F,16,U,4,4,teacher,teacher,1,2,0,no,yes,3,0,45,45,50
F,16,U,4,3,health,other,1,2,0,yes,yes,2,2,80,80,80
F,16,U,2,3,other,other,1,2,0,yes,yes,4,6,40,50,50
F,17,U,1,1,other,other,1,2,0,no,yes,1,4,45,45,50
F,17,R,2,2,other,other,1,1,0,no,yes,3,18,35,30,30
F,16,R,2,2,services,services,2,4,0,yes,yes,5,6,50,50,55
F,17,U,3,4,at_home,services,1,3,1,no,yes,5,28,50,45,45
F,16,U,3,1,services,other,1,2,3,no,yes,4,5,35,35,35
F,16,U,4,3,teacher,other,1,2,0,yes,yes,1,10,55,60,65
F,16,U,1,1,at_home,other,2,1,0,no,yes,5,6,45,45,50
F,17,R,4,3,teacher,other,2,3,0,yes,yes,4,6,35,35,35
F,19,U,3,3,other,other,1,4,0,yes,yes,3,10,40,40,40
M,17,U,4,4,services,other,1,2,0,no,yes,3,13,60,60,65
F,16,U,2,2,other,other,1,2,0,no,yes,4,0,60,65,70
M,18,U,2,2,services,other,1,2,1,yes,yes,5,15,30,35,40
F,17,R,4,4,services,other,1,1,0,no,yes,3,12,40,50,50
F,17,U,3,2,other,other,2,2,0,no,yes,1,2,70,75,75
F,17,U,4,3,other,other,1,2,2,no,yes,1,22,30,30,20
M,18,U,3,3,services,health,1,2,1,no,yes,4,13,30,30,40
F,17,U,2,3,at_home,other,2,1,0,no,yes,3,3,35,35,40
F,17,U,2,2,at_home,at_home,1,3,0,yes,yes,4,4,45,50,50
F,17,R,2,1,at_home,services,2,2,0,yes,yes,5,2,30,30,30
F,17,U,1,1,at_home,other,1,3,1,yes,yes,5,0,30,25,0
F,16,U,2,3,services,teacher,1,2,0,no,yes,3,2,80,80,85
M,18,U,2,2,other,other,2,2,0,no,yes,4,0,60,65,65
F,16,U,4,4,teacher,services,1,3,0,yes,yes,5,0,65,65,70
F,18,R,3,1,other,other,1,2,1,yes,yes,4,16,45,40,35
F,17,U,3,2,other,other,1,2,0,yes,yes,3,10,80,75,75
M,17,U,2,3,services,services,1,2,0,no,yes,3,2,60,55,60
M,18,U,2,1,at_home,other,4,2,0,yes,yes,3,14,50,40,45
F,17,U,2,1,other,other,2,3,0,yes,yes,3,10,60,50,60
F,17,U,4,3,health,other,1,2,0,yes,yes,3,14,65,65,70
M,17,R,2,2,other,other,2,2,0,yes,yes,1,4,55,55,55
M,17,U,4,4,teacher,teacher,1,2,0,yes,yes,2,14,55,45,45
M,16,U,4,4,health,other,1,2,0,yes,yes,1,2,70,65,65
M,16,U,1,1,other,other,2,2,0,no,yes,5,18,45,35,30
M,16,U,3,2,at_home,other,2,3,0,yes,yes,2,10,55,45,50
M,17,U,2,2,other,other,1,2,0,yes,yes,4,4,70,65,65
F,16,U,2,1,other,other,1,1,0,no,yes,5,20,65,60,60
F,17,R,2,1,at_home,services,3,2,0,yes,yes,3,2,65,55,55
M,18,U,2,2,other,services,1,2,1,no,no,2,0,35,35,0
M,17,U,4,3,health,other,2,2,0,yes,yes,5,14,60,60,60
M,17,R,4,4,teacher,other,2,2,0,no,yes,4,2,50,55,60
M,16,U,4,3,teacher,other,1,1,0,yes,yes,3,0,30,0,0
M,16,U,4,4,services,services,1,1,0,yes,yes,5,0,65,60,60
F,18,U,2,1,other,other,2,3,0,no,yes,3,0,35,0,0
M,16,U,2,1,other,other,3,1,0,no,yes,4,6,90,90,90
M,17,U,2,3,other,other,2,1,0,no,yes,2,4,60,60,65
M,22,U,3,1,services,services,1,1,3,no,no,1,16,30,40,40
M,18,R,3,3,other,services,1,2,1,no,yes,5,8,15,25,25
M,16,U,0,2,other,other,1,1,0,no,yes,5,0,65,75,75
M,18,U,3,2,services,other,2,1,1,no,no,5,0,30,40,40
M,16,U,3,3,at_home,other,3,2,0,no,yes,2,6,35,50,50
M,18,U,2,1,services,services,1,1,1,no,no,5,4,30,45,40
M,16,R,2,1,other,other,2,1,0,yes,yes,3,0,40,45,40
M,17,R,2,1,other,other,1,1,0,no,yes,5,0,40,60,60
M,17,U,1,1,health,other,2,1,1,yes,yes,5,2,35,45,40
F,17,U,4,2,teacher,services,1,4,0,yes,yes,4,6,70,60,65
M,19,U,4,3,services,at_home,1,2,0,no,yes,1,12,55,55,55
M,18,U,2,1,other,other,1,2,0,yes,yes,4,8,75,70,70
F,17,U,2,2,services,services,1,4,0,yes,yes,2,0,50,45,0
F,18,U,4,3,services,other,1,2,0,no,yes,2,21,85,90,90
M,18,U,4,3,teacher,other,1,2,0,no,yes,3,2,40,40,40
M,18,R,3,2,other,other,1,3,0,yes,yes,3,1,65,60,60
F,17,U,3,3,other,other,1,3,0,yes,yes,4,4,50,45,45
F,18,U,2,2,at_home,services,1,3,0,yes,yes,3,0,45,50,0
M,18,R,3,4,other,other,2,2,0,yes,yes,1,13,85,85,85
M,17,U,3,1,services,other,1,2,0,yes,yes,5,2,45,45,50
F,18,R,4,4,teacher,other,2,2,0,yes,yes,4,8,60,50,55
M,18,U,4,2,health,other,1,2,0,yes,yes,5,10,50,45,50
F,18,R,2,1,other,other,2,2,0,no,no,3,0,30,0,0
F,19,U,3,3,other,services,1,2,2,yes,yes,5,15,45,45,45
F,18,U,2,3,other,services,1,4,0,yes,yes,2,4,75,70,70
F,18,U,1,1,other,other,2,2,0,no,yes,3,2,55,55,55
M,17,R,1,2,at_home,at_home,1,2,0,yes,yes,1,2,75,70,70
F,17,U,2,4,at_home,health,2,2,0,no,yes,1,2,50,50,50
F,17,U,2,2,services,other,2,2,0,no,yes,5,6,60,60,60
F,18,R,3,2,other,services,2,2,0,no,no,5,75,50,45,45
M,18,U,4,4,teacher,services,2,1,0,yes,yes,3,22,45,45,45
F,18,U,4,4,health,health,1,2,1,yes,yes,4,15,45,40,40
M,18,U,4,3,teacher,services,2,1,0,yes,yes,1,8,50,55,50
M,17,U,4,1,services,other,2,1,0,yes,yes,5,30,40,40,40
M,17,U,3,2,teacher,services,1,1,1,no,yes,3,19,55,45,50
F,18,R,1,1,at_home,other,2,4,0,yes,yes,3,1,60,60,60
F,18,U,1,1,other,other,2,2,0,yes,yes,4,4,40,45,50
F,17,U,2,2,other,other,1,2,0,no,yes,5,4,50,45,55
M,17,U,1,1,other,other,1,2,0,no,yes,4,2,60,50,55
F,18,U,2,2,at_home,at_home,1,3,0,no,yes,2,5,90,90,95
F,17,U,1,1,services,teacher,1,3,0,no,yes,3,6,65,60,60
M,18,U,2,1,services,services,1,3,0,yes,yes,2,6,75,70,70
M,18,U,4,4,teacher,teacher,1,2,0,yes,yes,2,9,75,65,75
M,18,U,4,2,teacher,other,1,2,0,yes,yes,5,11,60,55,55
F,17,U,4,3,health,services,1,3,0,no,yes,3,0,75,75,75
F,18,U,2,1,services,at_home,1,2,1,no,yes,5,12,60,60,65
F,17,R,3,1,services,other,2,4,0,no,yes,3,6,90,90,90
M,18,R,3,2,services,other,2,3,0,yes,yes,4,8,70,65,70
M,17,U,3,3,health,other,1,1,0,no,yes,5,4,70,60,55
F,19,U,4,4,health,other,2,2,0,yes,yes,2,0,50,45,0
F,18,U,4,3,other,other,2,2,0,no,yes,2,10,50,40,40
F,18,U,4,3,other,other,1,4,0,no,yes,3,0,70,65,70
M,18,U,4,4,teacher,teacher,1,1,0,no,yes,1,5,80,75,80
F,18,U,4,4,health,other,1,2,0,no,yes,4,14,60,50,55
M,17,U,4,4,other,teacher,2,1,0,no,yes,5,0,55,55,50
F,17,U,4,2,other,other,2,3,0,no,yes,3,0,75,60,70
F,17,U,3,2,health,health,1,4,0,yes,yes,5,0,85,85,90
M,19,U,3,3,other,other,1,2,1,yes,yes,3,20,75,70,65
F,18,U,2,4,services,at_home,1,2,1,yes,yes,3,8,70,60,60
M,20,U,3,2,services,other,1,1,0,yes,yes,5,0,85,90,90
M,19,U,4,4,teacher,services,2,1,1,no,yes,4,38,40,45,40
M,19,R,3,3,other,services,1,2,1,yes,yes,5,0,75,60,60
F,19,U,1,1,at_home,other,1,2,1,yes,yes,3,18,60,50,50
F,19,U,1,2,services,services,1,2,1,yes,yes,3,0,45,45,0
F,19,U,2,1,at_home,other,3,2,0,no,no,2,20,70,60,65
M,19,U,1,2,other,services,1,2,1,no,yes,4,3,65,55,55
F,19,U,3,2,services,other,2,2,1,no,yes,1,22,65,50,55
F,19,U,1,1,at_home,health,1,3,2,no,yes,3,14,75,65,65
F,19,R,2,3,other,other,1,3,1,no,yes,3,40,65,55,55
F,18,U,2,1,services,other,2,2,0,yes,yes,1,0,40,40,0
F,18,U,4,3,other,other,1,3,0,yes,yes,5,9,45,50,45
F,17,R,3,4,at_home,services,1,3,0,yes,yes,5,0,55,55,50
F,18,U,4,4,teacher,other,1,2,0,no,yes,5,2,55,55,55
F,17,U,4,3,services,services,1,2,0,no,yes,5,23,65,65,65
F,17,U,2,2,other,other,1,2,0,no,yes,3,12,55,45,45
F,17,R,2,2,services,services,1,3,0,yes,yes,3,3,55,55,55
F,17,U,3,1,services,services,1,3,0,no,yes,5,1,60,70,75
F,17,U,0,2,at_home,at_home,2,3,0,no,yes,2,0,80,75,75
M,18,U,4,4,other,other,1,3,0,yes,yes,3,3,45,60,55
M,17,U,3,3,other,services,1,1,0,yes,yes,5,3,70,75,80
M,17,R,2,2,services,other,4,1,0,no,yes,4,8,55,50,50
F,17,U,4,4,teacher,services,1,3,0,yes,yes,4,7,50,45,45
F,17,U,4,4,teacher,teacher,2,3,0,no,yes,4,4,70,70,70
M,18,U,2,2,other,other,1,4,0,yes,yes,5,2,45,40,40
F,17,R,2,4,at_home,other,1,3,0,no,yes,5,7,60,70,70
F,18,U,3,3,services,services,1,2,0,yes,yes,4,0,35,0,0
F,18,U,2,2,other,other,1,2,0,yes,yes,2,0,40,40,0
F,18,R,2,2,at_home,other,2,4,0,yes,yes,4,0,50,45,0
F,17,U,3,4,services,other,1,3,0,no,yes,5,16,80,75,75
F,19,R,3,1,services,at_home,1,3,1,no,yes,5,12,70,65,65
F,17,U,3,2,other,other,1,2,0,no,yes,2,0,35,40,0
F,18,U,3,3,services,services,1,4,0,no,yes,1,7,80,75,85
F,17,R,3,2,other,other,1,2,0,no,yes,2,4,45,50,50
F,19,U,2,1,services,services,1,3,1,yes,yes,3,4,55,60,55
M,18,U,4,4,teacher,services,1,2,1,yes,yes,2,0,50,50,0
M,18,U,3,4,services,other,1,2,0,yes,yes,5,11,80,75,75
F,17,U,2,2,at_home,at_home,1,2,1,no,yes,4,0,45,40,0
F,18,U,2,3,at_home,other,1,3,0,no,yes,3,4,55,50,50
F,18,U,3,2,other,services,1,3,0,no,yes,1,7,65,65,70
M,18,R,4,3,teacher,services,1,3,0,no,yes,4,9,80,75,80
M,18,U,4,3,teacher,other,1,3,0,no,yes,5,0,50,50,45
F,17,U,4,3,health,other,1,3,0,yes,yes,4,0,65,75,75
M,18,R,3,2,other,other,2,1,1,no,yes,5,10,55,65,65
M,19,R,1,1,other,services,3,2,3,no,yes,2,8,40,35,40
M,17,U,3,3,health,other,2,2,0,no,yes,3,2,65,65,65
M,18,U,1,3,at_home,services,1,1,1,no,no,3,7,40,35,40
M,19,R,1,1,other,other,3,1,1,no,yes,5,4,40,40,40
M,17,R,4,3,services,other,2,2,0,yes,yes,2,4,65,55,55
F,18,U,3,3,services,services,1,2,0,no,yes,5,0,50,45,45
F,17,R,4,4,teacher,services,2,2,0,yes,yes,5,4,60,65,65
F,17,U,3,2,services,other,2,2,0,no,yes,5,2,60,60,55
M,18,U,1,1,other,services,2,1,0,no,yes,3,4,50,50,50
F,18,U,1,1,at_home,services,2,3,0,no,yes,4,0,90,80,80
F,18,R,1,4,at_home,other,3,2,0,no,yes,5,0,65,65,65
M,18,R,1,1,at_home,other,2,2,1,yes,no,5,2,65,60,60
F,18,U,3,3,services,services,2,2,0,no,yes,3,0,55,55,50
F,17,U,4,4,at_home,at_home,1,2,0,yes,yes,1,0,80,75,75
F,17,R,1,2,other,services,2,2,0,no,yes,3,0,60,55,60
M,18,R,1,3,at_home,other,2,2,0,no,yes,3,4,50,50,50
M,18,U,4,4,teacher,services,2,3,0,no,yes,5,0,65,65,65
F,17,R,1,1,other,services,3,1,1,no,yes,1,0,35,30,0
F,18,U,2,3,at_home,services,2,1,0,no,yes,4,0,55,50,50
F,18,R,4,4,other,teacher,3,2,0,no,yes,5,10,70,60,55
F,19,U,3,2,services,services,2,2,2,yes,yes,3,4,35,35,45
M,18,R,1,2,at_home,services,3,1,0,yes,no,3,3,70,60,60
F,17,U,2,2,other,at_home,1,3,0,yes,yes,3,8,65,55,55
F,17,R,1,2,other,other,1,1,0,yes,yes,1,14,30,25,25
F,18,R,4,4,other,other,2,3,0,no,yes,1,0,95,90,95
F,18,R,1,1,other,other,4,3,0,no,yes,4,2,40,40,50
F,20,U,4,2,health,other,2,3,2,no,yes,3,4,75,70,75
F,18,R,4,4,teacher,services,1,2,0,yes,yes,2,4,40,45,50
F,18,U,3,3,other,other,1,2,0,no,yes,1,0,75,75,75
F,17,R,3,1,at_home,other,1,2,0,yes,yes,1,17,50,50,50
M,18,U,4,4,teacher,teacher,1,2,0,yes,yes,2,4,75,70,70
M,18,R,2,1,other,other,2,1,0,yes,yes,5,5,35,30,35
M,17,U,2,3,other,services,2,2,0,yes,yes,3,2,55,55,50
M,19,R,1,1,other,services,2,1,1,no,yes,5,0,30,25,0
M,18,R,4,2,other,other,2,1,1,no,yes,3,14,30,25,25
F,18,R,2,2,at_home,other,2,3,0,no,yes,4,2,50,45,50
F,18,R,4,4,teacher,at_home,3,1,0,yes,yes,5,7,30,25,30
F,19,R,2,3,services,other,1,3,1,yes,yes,5,0,35,25,0
F,18,U,3,1,teacher,services,1,2,0,no,yes,1,0,35,45,40
F,18,U,1,1,other,other,2,2,1,yes,yes,5,0,30,25,0
M,20,U,2,2,services,services,1,2,2,no,yes,4,11,45,45,45
M,17,U,3,1,services,services,2,1,0,no,yes,2,3,70,80,80
M,21,R,1,1,other,other,1,1,3,no,yes,3,3,50,40,35
M,18,R,3,2,services,other,3,1,0,no,yes,5,0,55,60,50
M,19,U,1,1,other,at_home,1,1,0,no,yes,5,5,40,45,45
